stationname,east,north,TEMP_value
Klingenthal,4533369.698219,5579836.933495,-2.48
Plauen-DWD,4509252.538247,5593868.520490,-1.57
Plauen-Sued,4509796.524194,5594357.452107,-0.51
Glauchau,4538188.439332,5632291.016335,-0.32
Zwickau,4534808.258045,5620474.369133,0.06
Chemnitz (Leipziger Str.),4563616.014069,5634735.499497,-1.51
Chemnitz-Mitte,4564618.045837,5633270.601996,-0.28
Chemnitz-Nord,4565529.038716,5634837.449283,-0.95
Schwartenberg,4603582.029374,5614610.443067,-5.25
Freiberg,4594700.718489,5643059.258607,-2.20
Carlsfeld,4543416.372698,5588429.914735,-5.90
Dresden (Herzogingarten),4621190.493534,5659023.209303,0.61
Dresden-Nord,4622052.498227,5660171.087091,-0.05
Dresden (Bergstr.),4621467.469983,5655857.586003,0.07
Zittau-Ost,4698574.708847,5643331.317652,-2.02
Goerlitz,4708019.739920,5673042.884884,-0.43
Niesky,4691798.919676,5686840.431003,-0.49
Radebeul-Wahnsdorf,4617261.289296,5666134.380538,-1.23
Hoyerswerda,4656730.189767,5702516.015653,-0.26
Bautzen,4670866.545176,5673886.126455,-1.31
Leipzig-Mitte,4526276.365102,5689857.518205,1.53
Leipzig-West,4520732.017298,5686910.883375,-0.08
Borna,4534590.677748,5665574.237407,0.72
Collmberg,4570384.880115,5685780.618848,-1.53
Leipzig (Luetzner Str.),4523321.273294,5688920.746439,1.23
Delitzsch,4523424.433570,5710543.278959,0.70
Annaberg-Buchholz,4570641.075330,5604247.905164,-3.13
Zinnwald,4623637.121132,5623100.244720,-5.95
Schkeuditz,4516287.762047,5695592.920370,0.40
Leipzig-Thekla,4529640.646820,5693416.197456,1.47
Fichtelberg,4567740.628320,5588370.699296,-8.00
